,arrival_hydrophone,init_arrival_time,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time
350,h4,18037.325807997688,350,182.25,"[18037.325807280093, 18037.325807245372, 18037.325807256944, 18037.32580729167, 18037.325806944446, 18037.325808252317]",4,2,18037.325806944446
351,h4,18037.32581408565,351,132.375,"[18037.325814039355, 18037.325814062504, 18037.325814039355, 18037.325814074076, 18037.325814525466, 18037.325815000004]",2,3,18037.325814039355
352,h4,18037.325823113428,352,132.375,"[18037.325822627314, 18037.32582314815, 18037.32582306713, 18037.32582310185, 18037.325823541665, 18037.32582402778]",2,3,18037.32582306713
353,h4,18037.325826250002,353,219.0,"[18037.32582548611, 18037.32582548611, 18037.32582546296, 18037.325825497686, 18037.325824594907, 18037.325825335647]",4,5,18037.325824594907
354,h4,18037.325835555555,354,133.25,"[18037.32583553241, 18037.325835509262, 18037.325835509262, 18037.32583553241, 18037.325835983796, 18037.32583646991]",2,3,18037.325835509262
355,h4,18037.32583908565,355,133.25,"[18037.3258390625, 18037.32583800926, 18037.325839039353, 18037.3258390625, 18037.325839537036, 18037.32584]",2,3,18037.325839039353
356,h4,18037.32584476852,356,132.375,"[18037.325844733798, 18037.325843356484, 18037.32584414352, 18037.325844178242, 18037.32584462963, 18037.32584570602]",2,3,18037.32584414352
357,h4,18037.325850208334,357,132.375,"[18037.325850162037, 18037.325850185185, 18037.325850162037, 18037.325850196758, 18037.325850648147, 18037.325851122685]",2,3,18037.325850162037
358,h4,18037.325853668983,358,132.375,"[18037.325853645834, 18037.325853645834, 18037.325853622686, 18037.325853657407, 18037.325854108796, 18037.325854618055]",2,3,18037.325853622686
359,h4,18037.325856574076,359,254.0,"[18037.325855034724, 18037.325855613424, 18037.32585650463, 18037.32585653935, 18037.325854826388, 18037.325855104165]",4,5,18037.325854826388
360,h4,18037.32586090278,360,133.25,"[18037.325860868055, 18037.325860891204, 18037.325860868055, 18037.325860891204, 18037.325861342593, 18037.325861828704]",2,3,18037.325860868055
361,h4,18037.325864282408,361,116.625,"[18037.32586425926, 18037.32586427083, 18037.325864027775, 18037.32586427083, 18037.32586474537, 18037.325865243052]",2,3,18037.325864027775
362,h4,18037.325870243058,362,133.25,"[18037.32587021991, 18037.32587019676, 18037.32587019676, 18037.32587021991, 18037.325870671295, 18037.32587115741]",2,3,18037.32587019676
363,h4,18037.32587519676,363,562.875,"[18037.32587392361, 18037.325875034723, 18037.32587513889, 18037.325875162038, 18037.325875636576, 18037.325873252317]",5,2,18037.325873252317
364,h4,18037.32587929398,364,132.375,"[18037.325879270833, 18037.325879270833, 18037.325879247684, 18037.325879282405, 18037.325879733795, 18037.325880208333]",2,3,18037.325879247684
365,h4,18037.32588229167,365,280.25,"[18037.32588144676, 18037.32588226852, 18037.32588224537, 18037.325882280093, 18037.325881284723, 18037.325883472222]",4,2,18037.325881284723
366,h4,18037.32588625,366,132.375,"[18037.325886226852, 18037.325886226852, 18037.325886203704, 18037.325886238425, 18037.325886712963, 18037.325887430554]",2,3,18037.325886203704
367,h4,18037.325892627316,367,133.25,"[18037.32589260417, 18037.325892581022, 18037.325892581022, 18037.32589260417, 18037.325893078705, 18037.32589354167]",2,3,18037.325892581022
368,h4,18037.325897222225,368,133.25,"[18037.32589574074, 18037.325895648148, 18037.32589716435, 18037.3258971875, 18037.32589766204, 18037.32589837963]",2,3,18037.32589716435
369,h4,18037.325901736112,369,133.25,"[18037.325901689816, 18037.325901712964, 18037.325901689816, 18037.325901712964, 18037.32590216435, 18037.325902650464]",2,3,18037.325901689816
370,h4,18037.32598371528,370,376.5,"[18037.325982337963, 18037.325982048613, 18037.325983680556, 18037.325983668983, 18037.325984155093, 18037.325982534723]",5,3,18037.325982534723
371,h4,18037.325989363428,371,134.125,"[18037.325989328703, 18037.325989328703, 18037.325989328703, 18037.32598934028, 18037.32598980324, 18037.3259903125]",2,3,18037.325989328703
372,h4,18037.325996122687,372,132.375,"[18037.32599542824, 18037.32599471065, 18037.32599574074, 18037.325995775464, 18037.325996261574, 18037.325996956017]",2,3,18037.32599574074
373,h4,18037.326000833335,373,135.0,"[18037.325999872683, 18037.326000138888, 18037.32600079861, 18037.32600079861, 18037.326001261572, 18037.326001747686]",2,3,18037.32600079861
374,h4,18037.32600396991,374,133.25,"[18037.326002881942, 18037.326003819446, 18037.326003935184, 18037.326003958333, 18037.326004409722, 18037.326005150462]",2,3,18037.326003935184
375,h4,18037.326009953704,375,258.375,"[18037.326009363424, 18037.326009363424, 18037.32600935185, 18037.326009363424, 18037.32600983796, 18037.326008807868]",5,2,18037.326008807868
376,h4,18037.326018055555,376,134.125,"[18037.32601803241, 18037.32601803241, 18037.326018020834, 18037.32601803241, 18037.326018483796, 18037.32601896991]",2,3,18037.326018020834
377,h4,18037.32604582176,377,131.5,"[18037.326045787035, 18037.326045810183, 18037.326045763886, 18037.326045810183, 18037.326046261573, 18037.32604673611]",2,3,18037.326045763886
378,h4,18037.32605528935,378,134.125,"[18037.326054421297, 18037.326053541667, 18037.326055231482, 18037.32605524306, 18037.326055717593, 18037.32605621528]",2,3,18037.326055231482
379,h4,18037.32606806713,379,135.0,"[18037.326066516205, 18037.326067187503, 18037.32606795139, 18037.32606795139, 18037.326068414353, 18037.326068344908]",2,3,18037.32606795139
380,h4,18037.326073043983,380,131.5,"[18037.326071979165, 18037.326073032407, 18037.32607298611, 18037.326073032407, 18037.326073483797, 18037.326074236113]",2,3,18037.32607298611
381,h4,18037.326078356484,381,134.125,"[18037.32607832176, 18037.326076469908, 18037.326078310187, 18037.32607832176, 18037.32607877315, 18037.326079282408]",2,3,18037.326078310187
382,h4,18037.326089675928,382,134.125,"[18037.326089074075, 18037.326089074075, 18037.326089074075, 18037.326089085647, 18037.326089537037, 18037.326090046296]",2,3,18037.326089074075
383,h4,18037.326095381944,383,134.125,"[18037.32609534722, 18037.32609537037, 18037.326095358796, 18037.32609537037, 18037.326095821758, 18037.326096296296]",2,3,18037.326095358796
384,h4,18037.32609832176,384,465.75,"[18037.326098287034, 18037.326098287034, 18037.326098275462, 18037.326098287034, 18037.326098738424, 18037.326096817127]",5,2,18037.326096817127
385,h4,18037.326104895834,385,134.125,"[18037.326104849537, 18037.326104849537, 18037.326104849537, 18037.32610486111, 18037.326105335647, 18037.32610579861]",2,3,18037.326104849537
386,h4,18037.32610849537,386,98.25,"[18037.32610847222, 18037.326107997684, 18037.326107997684, 18037.326108483794, 18037.326108958332, 18037.326109675923]",2,3,18037.326107997684
387,h4,18037.32611425926,387,131.5,"[18037.326114247684, 18037.326114247684, 18037.326114201387, 18037.326114247684, 18037.326114699074, 18037.32611517361]",2,3,18037.326114201387
388,h4,18037.32612326389,388,134.125,"[18037.326123217594, 18037.326123217594, 18037.326123217594, 18037.326123229166, 18037.326123680556, 18037.326124166666]",2,3,18037.326123217594
389,h4,18037.32613013889,389,133.25,"[18037.326128495373, 18037.326130011574, 18037.32612998843, 18037.326130011574, 18037.326130462963, 18037.326131087964]",2,3,18037.32612998843
390,h4,18037.326135717594,390,134.125,"[18037.326135, 18037.326135023148, 18037.326135671297, 18037.32613568287, 18037.32613613426, 18037.326136886575]",2,3,18037.326135671297
391,h4,18037.326140590278,391,134.125,"[18037.3261405787, 18037.3261405787, 18037.32614056713, 18037.3261405787, 18037.32614103009, 18037.32614153935]",2,3,18037.32614056713
392,h4,18037.326146122687,392,134.125,"[18037.32614611111, 18037.326146087962, 18037.326146099538, 18037.32614611111, 18037.3261465625, 18037.326147037038]",2,3,18037.326146099538
393,h4,18037.32614934028,393,134.125,"[18037.32614866898, 18037.32614866898, 18037.326148657405, 18037.32614866898, 18037.32614914352, 18037.3261496412]",2,3,18037.326148657405
394,h4,18037.326154641203,394,134.125,"[18037.326154606482, 18037.326154606482, 18037.32615461806, 18037.32615462963, 18037.32615508102, 18037.32615555556]",2,3,18037.32615461806
395,h4,18037.3261587963,395,134.125,"[18037.326158784723, 18037.32615877315, 18037.32615877315, 18037.326158784723, 18037.326159236112, 18037.326159780092]",2,3,18037.32615877315
396,h4,18037.326164548613,396,135.0,"[18037.326164537037, 18037.326164502316, 18037.326164525464, 18037.326164525464, 18037.32616497685, 18037.326165462964]",2,3,18037.326164525464
397,h4,18037.32617304398,397,134.125,"[18037.32617303241, 18037.326173020836, 18037.326173020836, 18037.32617303241, 18037.326173483798, 18037.326174212965]",2,3,18037.326173020836
398,h4,18037.32617630787,398,337.125,"[18037.326174803242, 18037.32617550926, 18037.326176168983, 18037.326176296297, 18037.326175034723, 18037.326174212965]",5,4,18037.326174212965
399,h4,18037.326182314817,399,134.125,"[18037.32618230324, 18037.32618230324, 18037.32618229167, 18037.32618230324, 18037.32618275463, 18037.32618326389]",2,3,18037.32618229167
400,h4,18037.32618675926,400,135.0,"[18037.326186724535, 18037.326186724535, 18037.326186712962, 18037.326186712962, 18037.326187164348, 18037.326187650462]",2,3,18037.326186712962
401,h4,18037.32619019676,401,134.125,"[18037.326190185184, 18037.326189444444, 18037.32619017361, 18037.326190185184, 18037.326190636573, 18037.32619111111]",2,3,18037.32619017361
402,h4,18037.326195185185,402,135.0,"[18037.32619515046, 18037.32619375, 18037.32619513889, 18037.32619513889, 18037.326195613423, 18037.326196099537]",2,3,18037.32619513889
403,h4,18037.32620175926,403,137.625,"[18037.326200821757, 18037.326200844906, 18037.326200810185, 18037.326200775464, 18037.326201261574, 18037.326201747685]",3,2,18037.326200775464
404,h4,18037.326205266203,404,135.0,"[18037.32620439815, 18037.326205046298, 18037.32620524306, 18037.32620524306, 18037.32620570602, 18037.32620621528]",2,3,18037.32620524306
405,h4,18037.32621011574,405,135.875,"[18037.326209236115, 18037.326210092597, 18037.326210092597, 18037.32621008102, 18037.32621055556, 18037.326211064817]",3,2,18037.32621008102
406,h4,18037.326220717594,406,134.125,"[18037.326219282408, 18037.326219907405, 18037.326220671297, 18037.32622068287, 18037.32622113426, 18037.326221631945]",2,3,18037.326220671297
407,h4,18037.326225844907,407,135.0,"[18037.326225289355, 18037.326225833334, 18037.326225821762, 18037.326225821762, 18037.326226273148, 18037.32622675926]",2,3,18037.326225821762
408,h4,18037.326232812502,408,135.0,"[18037.326232800926, 18037.326232800926, 18037.326232789354, 18037.326232789354, 18037.326233252315, 18037.326233726853]",2,3,18037.326232789354
409,h4,18037.326235868055,409,337.125,"[18037.326235150464, 18037.326234988428, 18037.326235856483, 18037.326235856483, 18037.32623480324, 18037.326233981483]",5,4,18037.326233981483
410,h4,18037.326240868057,410,135.0,"[18037.32624085648, 18037.32624085648, 18037.326240844908, 18037.326240844908, 18037.32624130787, 18037.326242037037]",2,3,18037.326240844908
411,h4,18037.32624494213,411,250.5,"[18037.32624292824, 18037.326244930555, 18037.32624398148, 18037.326244884258, 18037.326245358796, 18037.32624347222]",5,2,18037.32624347222
412,h4,18037.326249895836,412,131.5,"[18037.32624988426, 18037.32624988426, 18037.326249837963, 18037.32624988426, 18037.32625033565, 18037.326250810187]",2,3,18037.326249837963
413,h4,18037.32625375,413,135.0,"[18037.326252060186, 18037.326252152776, 18037.326253726853, 18037.326253726853, 18037.326254201387, 18037.326254918982]",2,3,18037.326253726853
414,h4,18037.326259155092,414,132.375,"[18037.32625912037, 18037.32625912037, 18037.32625908565, 18037.32625912037, 18037.32625957176, 18037.3262600463]",2,3,18037.32625908565
415,h4,18037.32626778935,415,135.0,"[18037.326267777775, 18037.326267766202, 18037.326267766202, 18037.326267766202, 18037.32626821759, 18037.326268703702]",2,3,18037.326267766202
416,h4,18037.32627697917,416,133.25,"[18037.326276967593, 18037.326276967593, 18037.326276932872, 18037.32627695602, 18037.326277407406, 18037.32627789352]",2,3,18037.326276932872
417,h4,18037.326281041667,417,589.125,"[18037.3262797338, 18037.326279618057, 18037.326281030095, 18037.326281030095, 18037.326281504633, 18037.32627902778]",5,2,18037.32627902778
418,h4,18037.32628582176,418,133.25,"[18037.326285810184, 18037.326285798612, 18037.326285775463, 18037.326285798612, 18037.326286249998, 18037.32628673611]",2,3,18037.326285775463
419,h4,18037.326288761575,419,586.5,"[18037.32628872685, 18037.32628872685, 18037.32628872685, 18037.32628872685, 18037.32628917824, 18037.326286736108]",5,2,18037.326286736108
420,h4,18037.32629462963,420,135.0,"[18037.326294594906, 18037.326294594906, 18037.326294594906, 18037.326294594906, 18037.326295046296, 18037.326295532406]",2,3,18037.326294594906
421,h4,18037.326299780092,421,135.875,"[18037.326298738426, 18037.32629787037, 18037.32629976852, 18037.326299756947, 18037.326300208333, 18037.326300694447]",3,2,18037.326299756947
422,h4,18037.326310844906,422,135.875,"[18037.326309756943, 18037.32630914352, 18037.326310833334, 18037.32631082176, 18037.326311273147, 18037.32631175926]",3,2,18037.32631082176
423,h4,18037.32631670139,423,135.0,"[18037.326315127313, 18037.32631515046, 18037.326316689814, 18037.326316689814, 18037.326317141204, 18037.32631787037]",2,3,18037.326316689814
424,h4,18037.326321203705,424,135.0,"[18037.326319641204, 18037.32632002315, 18037.32632115741, 18037.32632115741, 18037.326321631943, 18037.326322152778]",2,3,18037.32632115741
425,h4,18037.32632787037,425,135.875,"[18037.326327048613, 18037.326326979168, 18037.326327060186, 18037.326327048613, 18037.32632752315, 18037.326328101855]",3,2,18037.326327048613
426,h4,18037.326333287037,426,135.0,"[18037.32633201389, 18037.32633197917, 18037.326332997687, 18037.326332997687, 18037.326333472225, 18037.326333958335]",2,3,18037.326332997687
427,h4,18037.326337268518,427,135.0,"[18037.32633730324, 18037.326335555554, 18037.32633725694, 18037.32633725694, 18037.32633770833, 18037.32633821759]",2,3,18037.32633725694
428,h4,18037.326341921296,428,135.875,"[18037.326341608798, 18037.32634195602, 18037.326341909724, 18037.32634189815, 18037.326342349537, 18037.326342870372]",3,2,18037.32634189815
429,h4,18037.326347372687,429,135.875,"[18037.32634599537, 18037.326347395832, 18037.32634625, 18037.326346238428, 18037.326346689813, 18037.32634828704]",3,2,18037.326346238428
430,h4,18037.326351932872,430,135.0,"[18037.32635142361, 18037.32635082176, 18037.326351921296, 18037.326351921296, 18037.326352372686, 18037.326352881944]",2,3,18037.326351921296
431,h4,18037.326357337963,431,136.75,"[18037.326355509256, 18037.32635671296, 18037.326356701386, 18037.326356678237, 18037.326357152775, 18037.32635792824]",3,2,18037.326356678237
432,h4,18037.326364305558,432,135.875,"[18037.3263634375, 18037.326363356482, 18037.326364155095, 18037.32636414352, 18037.326364618057, 18037.32636511574]",3,2,18037.32636414352
433,h4,18037.326367280093,433,135.0,"[18037.326367418984, 18037.326367314818, 18037.32636726852, 18037.32636726852, 18037.32636771991, 18037.32636822917]",2,3,18037.32636726852
434,h4,18037.326373738426,434,135.0,"[18037.326373067128, 18037.326372291664, 18037.32637372685, 18037.32637372685, 18037.32637417824, 18037.326374907407]",2,3,18037.32637372685
435,h4,18037.326386493056,435,135.875,"[18037.326385381944, 18037.326385729164, 18037.326386493052, 18037.32638648148, 18037.32638693287, 18037.326387662037]",3,2,18037.32638648148
436,h4,18037.326393252315,436,135.875,"[18037.326393240743, 18037.326393240743, 18037.326393252315, 18037.326393240743, 18037.326393692132, 18037.326394178242]",3,2,18037.326393240743
437,h4,18037.32639638889,437,135.875,"[18037.32639636574, 18037.326395671294, 18037.326396377313, 18037.32639636574, 18037.326396840275, 18037.32639730324]",3,2,18037.32639636574
438,h4,18037.326402291666,438,134.125,"[18037.326402268518, 18037.326401759256, 18037.326402175924, 18037.326402187497, 18037.32640275463, 18037.32640324074]",2,3,18037.326402175924
439,h4,18037.3264081713,439,134.125,"[18037.32640824074, 18037.326408136574, 18037.326408125, 18037.326408136574, 18037.326408587964, 18037.326409097222]",2,3,18037.326408125
440,h4,18037.326419490742,440,134.125,"[18037.326419293982, 18037.326419467594, 18037.326419456018, 18037.326419467594, 18037.32641991898, 18037.326420405094]",2,3,18037.326419456018
441,h4,18037.32642439815,441,135.875,"[18037.326422824073, 18037.326423252314, 18037.326424386574, 18037.326424375, 18037.326424849536, 18037.32642556713]",3,2,18037.326424375
442,h4,18037.326429479166,442,135.875,"[18037.326427858792, 18037.32642944444, 18037.326429456018, 18037.32642944444, 18037.32642989583, 18037.32643038194]",3,2,18037.32642944444
443,h4,18037.32643510417,443,135.875,"[18037.326435104165, 18037.326433344908, 18037.32643497685, 18037.326434965278, 18037.326435439816, 18037.326436145835]",3,2,18037.326434965278
444,h4,18037.32643914352,444,135.875,"[18037.32643912037, 18037.326438541666, 18037.326439131943, 18037.32643912037, 18037.326439571756, 18037.32644005787]",3,2,18037.32643912037
445,h4,18037.326445729166,445,135.875,"[18037.326445717594, 18037.326445717594, 18037.326445729166, 18037.326445717594, 18037.326446168983, 18037.32644664352]",3,2,18037.326445717594
446,h4,18037.326450370372,446,135.875,"[18037.32644894676, 18037.326450150464, 18037.326450347224, 18037.326450335648, 18037.326450787037, 18037.326451296296]",3,2,18037.326450335648
447,h4,18037.326455682873,447,135.875,"[18037.326455671297, 18037.326455671297, 18037.32645568287, 18037.326455671297, 18037.326456122686, 18037.326456597224]",3,2,18037.326455671297
448,h4,18037.326460578704,448,135.875,"[18037.3264590625, 18037.326460011573, 18037.3264605787, 18037.32646056713, 18037.326461018518, 18037.326461747685]",3,2,18037.32646056713
449,h4,18037.326471145832,449,135.875,"[18037.32646988426, 18037.326469814816, 18037.32647096065, 18037.326470949076, 18037.326471412038, 18037.32647209491]",3,2,18037.326470949076
450,h4,18037.32647740741,450,135.875,"[18037.326477372684, 18037.326477372684, 18037.32647738426, 18037.326477372684, 18037.326477824074, 18037.326478333332]",3,2,18037.326477372684
451,h4,18037.326481724536,451,135.0,"[18037.326481342592, 18037.326480972224, 18037.326481342592, 18037.326481342592, 18037.32648179398, 18037.326482337965]",2,3,18037.326481342592
452,h4,18037.32648667824,452,135.875,"[18037.326484907408, 18037.326485891204, 18037.32648667824, 18037.32648666667, 18037.326487118058, 18037.326487627317]",3,2,18037.32648666667
453,h4,18037.326492083335,453,135.875,"[18037.32649207176, 18037.32649207176, 18037.32649208333, 18037.32649207176, 18037.32649252315, 18037.326492997687]",3,2,18037.32649207176
454,h4,18037.326497291666,454,135.875,"[18037.32649660879, 18037.326496388887, 18037.32649724537, 18037.326497233793, 18037.32649770833, 18037.3264987037]",3,2,18037.326497233793
455,h4,18037.326502094907,455,136.75,"[18037.326502071763, 18037.326502071763, 18037.326502094907, 18037.326502071763, 18037.32650252315, 18037.326503009263]",3,2,18037.326502071763
456,h4,18037.32650601852,456,136.75,"[18037.32650494213, 18037.3265059375, 18037.32650596065, 18037.3265059375, 18037.32650641204, 18037.326507118058]",3,2,18037.3265059375
457,h4,18037.326511354167,457,135.875,"[18037.32651134259, 18037.32651134259, 18037.326511354164, 18037.32651134259, 18037.32651179398, 18037.32651226852]",3,2,18037.32651134259
458,h4,18037.326515405093,458,430.75,"[18037.326514016204, 18037.32651435185, 18037.32651540509, 18037.326515381945, 18037.32651585648, 18037.32651388889]",5,3,18037.32651388889
459,h4,18037.326520868057,459,136.75,"[18037.326520833332, 18037.326520833332, 18037.32652085648, 18037.326520833332, 18037.326521284722, 18037.326521770832]",3,2,18037.326520833332
460,h4,18037.32652508102,460,136.75,"[18037.326524687498, 18037.32652417824, 18037.32652466435, 18037.3265246412, 18037.32652511574, 18037.326525613422]",3,2,18037.3265246412
461,h4,18037.326530439816,461,135.875,"[18037.32653042824, 18037.32653040509, 18037.326530439812, 18037.32653042824, 18037.32653087963, 18037.326531354167]",3,2,18037.32653042824
462,h4,18037.326533657408,462,130.625,"[18037.326533611114, 18037.32653326389, 18037.32653355324, 18037.326533611114, 18037.3265340625, 18037.326534548614]",2,3,18037.32653355324
463,h4,18037.32653994213,463,136.75,"[18037.326539930556, 18037.326539930556, 18037.326539953705, 18037.326539930556, 18037.326540381946, 18037.326540868056]",3,2,18037.326539930556
464,h4,18037.326543530093,464,135.875,"[18037.32654351852, 18037.32654351852, 18037.326543530093, 18037.32654351852, 18037.32654396991, 18037.32654447917]",3,2,18037.32654351852
465,h4,18037.32654960648,465,136.75,"[18037.32654959491, 18037.32654959491, 18037.326549618057, 18037.32654959491, 18037.3265500463, 18037.32655053241]",3,2,18037.32654959491
466,h4,18037.326552986113,466,207.625,"[18037.326551631944, 18037.326551631944, 18037.326551655093, 18037.326551631944, 18037.326551597223, 18037.326552592593]",4,3,18037.326551597223
467,h4,18037.32656025463,467,136.75,"[18037.326560243055, 18037.326560243055, 18037.326560254627, 18037.326560231482, 18037.326560694444, 18037.326561168982]",3,2,18037.326560231482
468,h4,18037.326564270836,468,297.75,"[18037.326563333332, 18037.326562199076, 18037.326564270832, 18037.32656425926, 18037.32656472222, 18037.326563645835]",5,3,18037.326563645835
469,h4,18037.326569479166,469,136.75,"[18037.326569467594, 18037.326569467594, 18037.326569490742, 18037.326569467594, 18037.326569918983, 18037.326570428242]",3,2,18037.326569467594
470,h4,18037.32657443287,470,136.75,"[18037.326574386578, 18037.326574386578, 18037.326574409726, 18037.326574386578, 18037.326574837964, 18037.326575324078]",3,2,18037.326574386578
471,h4,18037.32657914352,471,136.75,"[18037.326578645832, 18037.32657866898, 18037.32657866898, 18037.326578645832, 18037.326579097222, 18037.32657960648]",3,2,18037.326578645832
472,h4,18037.326586377316,472,132.375,"[18037.32658542824, 18037.32658565972, 18037.32658614583, 18037.326586180556, 18037.32658665509, 18037.326587187497]",2,3,18037.32658614583
473,h4,18037.326589780092,473,136.75,"[18037.32658976852, 18037.32658976852, 18037.326589791668, 18037.32658976852, 18037.32659021991, 18037.326590729168]",3,2,18037.32658976852
474,h4,18037.326594467595,474,136.75,"[18037.326593287038, 18037.32659445602, 18037.326594421298, 18037.32659439815, 18037.326594872684, 18037.326595671297]",3,2,18037.32659439815
475,h4,18037.32659928241,475,136.75,"[18037.32659886574, 18037.326599270833, 18037.32659929398, 18037.326599270833, 18037.326599722222, 18037.32660023148]",3,2,18037.326599270833
476,h4,18037.326604467595,476,136.75,"[18037.326602916666, 18037.32660445602, 18037.326604479167, 18037.32660445602, 18037.32660490741, 18037.326605416667]",3,2,18037.32660445602
477,h4,18037.32660877315,477,136.75,"[18037.326607939816, 18037.32660769676, 18037.32660796296, 18037.326607939816, 18037.326608391202, 18037.32660890046]",3,2,18037.326607939816
478,h4,18037.326615231483,478,136.75,"[18037.32661439815, 18037.326614988426, 18037.326615011574, 18037.326614988426, 18037.326615439815, 18037.326616180555]",3,2,18037.326614988426
479,h4,18037.326623414352,479,136.75,"[18037.326622083332, 18037.326621377313, 18037.326623425924, 18037.326623402776, 18037.326623854166, 18037.326624583333]",3,2,18037.326623402776
480,h4,18037.326629583335,480,135.875,"[18037.32662957176, 18037.32662957176, 18037.32662958333, 18037.32662957176, 18037.326630023148, 18037.326630532407]",3,2,18037.32662957176
481,h4,18037.32663508102,481,134.125,"[18037.32663445602, 18037.326633819448, 18037.326635046298, 18037.326635057874, 18037.32663550926, 18037.326636030095]",2,3,18037.326635046298
482,h4,18037.32663939815,482,136.75,"[18037.326639386574, 18037.326639409723, 18037.326639409723, 18037.326639386574, 18037.326639837964, 18037.326640347223]",3,2,18037.326639386574
483,h4,18037.32664570602,483,137.625,"[18037.326645150464, 18037.326644444445, 18037.32664568287, 18037.326645648147, 18037.326646099536, 18037.32664662037]",3,2,18037.326645648147
484,h4,18037.32665204861,484,137.625,"[18037.326652037038, 18037.326651516203, 18037.32665195602, 18037.326651921296, 18037.32665246528, 18037.326652997686]",3,2,18037.326651921296
485,h4,18037.32665734954,485,137.625,"[18037.32665736111, 18037.32665667824, 18037.326657280093, 18037.32665724537, 18037.326657719907, 18037.32665824074]",3,2,18037.32665724537
486,h4,18037.326662094907,486,137.625,"[18037.32666119213, 18037.326660011575, 18037.326662106483, 18037.326662071762, 18037.326662534724, 18037.326663252315]",3,2,18037.326662071762
487,h4,18037.326666770834,487,137.625,"[18037.326666747686, 18037.326666759258, 18037.326666782406, 18037.326666747686, 18037.32666719907, 18037.326667685185]",3,2,18037.326666747686
488,h4,18037.32667033565,488,137.625,"[18037.326670312505, 18037.326670312505, 18037.326670347225, 18037.326670312505, 18037.32667078704, 18037.326671493058]",3,2,18037.326670312505
489,h4,18037.326675625,489,137.625,"[18037.326675613425, 18037.326675601853, 18037.326675636574, 18037.326675601853, 18037.32667605324, 18037.326676574074]",3,2,18037.326675601853
490,h4,18037.32667917824,490,107.0,"[18037.326678020836, 18037.32667783565, 18037.326678738427, 18037.3266791088, 18037.326679583333, 18037.32668008102]",2,3,18037.326678738427
491,h4,18037.326683715277,491,137.625,"[18037.326683298612, 18037.3266834375, 18037.326683333333, 18037.326683298612, 18037.32668375, 18037.32668425926]",3,2,18037.326683298612
492,h4,18037.326690636575,492,137.625,"[18037.326690625, 18037.326688958332, 18037.326690625, 18037.32669059028, 18037.326691064813, 18037.3266915625]",3,2,18037.32669059028
493,h4,18037.326698935187,493,138.5,"[18037.32669892361, 18037.32669892361, 18037.32669894676, 18037.326698900462, 18037.326699351852, 18037.32669986111]",3,2,18037.326698900462
494,h4,18037.327023159723,494,139.375,"[18037.327023136575, 18037.327021979167, 18037.327023194444, 18037.327023136575, 18037.32702358796, 18037.327024108796]",3,2,18037.327023136575
495,h4,18037.327030752316,495,142.0,"[18037.327030532408, 18037.327030648146, 18037.327030127315, 18037.32703003472, 18037.32703048611, 18037.32703099537]",3,2,18037.32703003472
496,h4,18037.327053877314,496,139.375,"[18037.32705385417, 18037.32705386574, 18037.32705391204, 18037.32705385417, 18037.32705431713, 18037.32705482639]",3,2,18037.32705385417
497,h4,18037.32705928241,497,139.375,"[18037.327059270832, 18037.327058078703, 18037.3270593287, 18037.327059270832, 18037.32705974537, 18037.327060208332]",3,2,18037.327059270832
498,h4,18037.327078587965,498,139.375,"[18037.32707857639, 18037.32707857639, 18037.32707863426, 18037.32707857639, 18037.32707902778, 18037.327079537037]",3,2,18037.32707857639
499,h4,18037.327087766203,499,130.625,"[18037.327086145833, 18037.327086932873, 18037.32708701389, 18037.32708707176, 18037.327087604168, 18037.32708809028]",2,3,18037.32708701389
500,h4,18037.327103680556,500,135.0,"[18037.327102071762, 18037.32710354167, 18037.32710354167, 18037.32710354167, 18037.327104016207, 18037.327104606484]",2,3,18037.32710354167
501,h4,18037.327122291666,501,139.375,"[18037.327120590275, 18037.327121354163, 18037.327121412036, 18037.327121354163, 18037.327121805552, 18037.327121458333]",3,2,18037.327121354163
502,h4,18037.327207708335,502,140.25,"[18037.327207083334, 18037.32720769676, 18037.327207754628, 18037.327207685186, 18037.327208136572, 18037.327208657407]",3,2,18037.327207685186
503,h4,18037.32722716435,503,136.75,"[18037.32722715278, 18037.32722715278, 18037.327227175927, 18037.32722715278, 18037.327227604168, 18037.327228113427]",3,2,18037.32722715278
504,h4,18037.327230381947,504,237.375,"[18037.327229571758, 18037.327228923612, 18037.327229618055, 18037.327229571758, 18037.32722914352, 18037.327230740742]",4,3,18037.32722914352
505,h4,18037.32723658565,505,140.25,"[18037.327236527777, 18037.327236527777, 18037.327236597223, 18037.327236527777, 18037.327236979167, 18037.3272375]",3,2,18037.327236527777
506,h4,18037.327243703705,506,140.25,"[18037.327242835647, 18037.32724369213, 18037.327243761574, 18037.32724369213, 18037.32724414352, 18037.32724466435]",3,2,18037.32724369213
507,h4,18037.32725315972,507,138.5,"[18037.327253113428, 18037.327252453706, 18037.327253171297, 18037.327253125, 18037.32725357639, 18037.327254050928]",3,2,18037.327253125
508,h4,18037.32726224537,508,140.25,"[18037.327262233794, 18037.32726222222, 18037.32726230324, 18037.327262233794, 18037.327262685183, 18037.32726315972]",3,2,18037.327262233794
509,h4,18037.32727,509,140.25,"[18037.327269988426, 18037.327269988426, 18037.32727005787, 18037.327269988426, 18037.327270439815, 18037.327271215276]",3,2,18037.327269988426
