,arrival_hydrophone,init_arrival_time,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time
36,h3,18037.318770416667,36,275.0,"[18037.318770381942, 18037.31877040509, 18037.31877040509, 18037.318770868053, 18037.3187690162, 18037.3187690162]",4,5,18037.3187690162
37,h3,18037.31877730324,37,275.0,"[18037.318777291664, 18037.318776273147, 18037.318777291664, 18037.318777754626, 18037.318776215274, 18037.318776215274]",4,5,18037.318776215274
38,h3,18037.31878545139,38,275.0,"[18037.318785416664, 18037.318785416664, 18037.318785416664, 18037.318785891202, 18037.318783854163, 18037.318783854163]",4,5,18037.318783854163
39,h3,18037.318795011575,39,413.25,"[18037.318794699073, 18037.318793194445, 18037.318795, 18037.31879545139, 18037.31879315972, 18037.31879523148]",4,2,18037.31879315972
40,h3,18037.318831793982,40,100.875,"[18037.318831770837, 18037.318831770837, 18037.318831770837, 18037.318832222223, 18037.31883269676, 18037.318833472225]",2,3,18037.318831770837
41,h3,18037.31884653935,41,205.0,"[18037.31884653935, 18037.318846527778, 18037.318846516206, 18037.318845902777, 18037.318845902777, 18037.318845902777]",3,4,18037.318845902777
42,h3,18037.31886203704,42,100.0,"[18037.318862037035, 18037.318862037035, 18037.318862002314, 18037.318862465276, 18037.318862939814, 18037.31886372685]",2,3,18037.318862002314
43,h3,18037.318869363426,43,100.875,"[18037.31886767361, 18037.31886872685, 18037.3188693287, 18037.31886978009, 18037.31887023148, 18037.31887103009]",2,3,18037.3188693287
44,h3,18037.318876076388,44,295.125,"[18037.31887613426, 18037.318876261575, 18037.318876041667, 18037.318876458336, 18037.318876979167, 18037.318875335648]",5,2,18037.318875335648
45,h3,18037.31889079861,45,106.125,"[18037.318890787035, 18037.318890787035, 18037.318890787035, 18037.31889116898, 18037.318891701387, 18037.318892488423]",2,3,18037.318890787035
46,h3,18037.318897881945,46,100.875,"[18037.318896076387, 18037.318896585646, 18037.31889787037, 18037.31889832176, 18037.31889878472, 18037.318899571757]",2,3,18037.31889787037
47,h3,18037.31890462963,47,100.875,"[18037.318902986113, 18037.31890462963, 18037.31890454861, 18037.318905, 18037.318905497687, 18037.31890625]",2,3,18037.31890454861
48,h3,18037.31891173611,48,100.0,"[18037.318911724535, 18037.318911724535, 18037.318911724535, 18037.318912187497, 18037.318912638886, 18037.318913425923]",2,3,18037.318911724535
49,h3,18037.318920127316,49,100.875,"[18037.31891921296, 18037.3189203125, 18037.31892011574, 18037.31892056713, 18037.31892105324, 18037.31892181713]",2,3,18037.31892011574
50,h3,18037.31892652778,50,100.875,"[18037.318925613425, 18037.31892665509, 18037.318926493055, 18037.318926944445, 18037.318927418983, 18037.318928194443]",2,3,18037.318926493055
51,h3,18037.318932766204,51,100.875,"[18037.31893274306, 18037.318932500002, 18037.31893274306, 18037.318933194445, 18037.318933668983, 18037.31893443287]",2,3,18037.31893274306
52,h3,18037.31893627315,52,248.75,"[18037.318935613424, 18037.31893625, 18037.318936226853, 18037.318935833333, 18037.31893525463, 18037.318937962962]",4,3,18037.31893525463
53,h3,18037.318942627317,53,101.75,"[18037.31894261574, 18037.31894261574, 18037.31894261574, 18037.318943055554, 18037.318943530092, 18037.31894431713]",2,3,18037.31894261574
54,h3,18037.318948784723,54,100.875,"[18037.318948761575, 18037.318948761575, 18037.318948761575, 18037.31894921296, 18037.3189496875, 18037.318950451387]",2,3,18037.318948761575
55,h3,18037.318952939815,55,100.0,"[18037.31895162037, 18037.318952905094, 18037.318952905094, 18037.318953368056, 18037.318953819446, 18037.318954606482]",2,3,18037.318952905094
56,h3,18037.318957592594,56,101.75,"[18037.318957581017, 18037.318957685184, 18037.318957581017, 18037.31895802083, 18037.31895849537, 18037.318959259257]",2,3,18037.318957581017
57,h3,18037.318961064815,57,100.875,"[18037.318961053243, 18037.318961030094, 18037.318961030094, 18037.318961481484, 18037.31896195602, 18037.318962731482]",2,3,18037.318961030094
58,h3,18037.318966666666,58,100.875,"[18037.318966655093, 18037.318966655093, 18037.318966655093, 18037.318967106483, 18037.318967557872, 18037.31896835648]",2,3,18037.318966655093
59,h3,18037.31897599537,59,100.875,"[18037.318975983795, 18037.318975983795, 18037.318975983795, 18037.318976435185, 18037.318976886574, 18037.318977685183]",2,3,18037.318975983795
60,h3,18037.318982997687,60,386.125,"[18037.31898236111, 18037.318982083332, 18037.31898298611, 18037.3189834375, 18037.318982893517, 18037.31898142361]",5,4,18037.31898142361
61,h3,18037.319005034722,61,303.875,"[18037.31900447917, 18037.319003333334, 18037.319005011577, 18037.319005462963, 18037.319004409725, 18037.31900402778]",5,4,18037.31900402778
62,h3,18037.31901263889,62,100.875,"[18037.319012627315, 18037.319012627315, 18037.319012627315, 18037.319013078704, 18037.319013553242, 18037.319014328703]",2,3,18037.319012627315
63,h3,18037.319020543982,63,100.875,"[18037.319020532406, 18037.319020532406, 18037.319020532406, 18037.319020983796, 18037.31902148148, 18037.319022233794]",2,3,18037.319020532406
64,h3,18037.31902787037,64,583.875,"[18037.31902797454, 18037.319027083333, 18037.319027708334, 18037.319028182872, 18037.31902806713, 18037.319025729168]",5,2,18037.319025729168
65,h3,18037.319269606483,65,101.75,"[18037.319268935185, 18037.319268993055, 18037.31926900463, 18037.319269444444, 18037.319269918982, 18037.319270694443]",2,3,18037.31926900463
66,h3,18037.319276689814,66,100.875,"[18037.31927666667, 18037.31927666667, 18037.31927666667, 18037.319277118055, 18037.319277569444, 18037.319278368057]",2,3,18037.31927666667
67,h3,18037.319279583335,67,322.25,"[18037.319279560186, 18037.319279560186, 18037.319279560186, 18037.319279143518, 18037.319279189815, 18037.319278368053]",5,3,18037.319278368053
68,h3,18037.31928607639,68,100.875,"[18037.319286053244, 18037.319286053244, 18037.319286053244, 18037.31928650463, 18037.319286979167, 18037.31928775463]",2,3,18037.319286053244
69,h3,18037.3192890625,69,129.75,"[18037.31928715278, 18037.31928715278, 18037.319287233797, 18037.319287303242, 18037.319288171297, 18037.319287743056]",2,3,18037.319287233797
70,h3,18037.319295405094,70,100.875,"[18037.31929538195, 18037.31929430556, 18037.31929538195, 18037.319295833335, 18037.319296307873, 18037.31929681713]",2,3,18037.31929538195
71,h3,18037.319301840278,71,77.25,"[18037.319301481482, 18037.319301793985, 18037.319301481482, 18037.319301932872, 18037.319301863427, 18037.31930318287]",2,4,18037.319301481482
72,h3,18037.319326018518,72,489.37500000000006,"[18037.319324247685, 18037.31932545139, 18037.319325995373, 18037.319326469908, 18037.319326944445, 18037.319324432872]",5,2,18037.319324432872
73,h3,18037.319370613426,73,100.875,"[18037.319370370373, 18037.31937053241, 18037.319370127316, 18037.319370578705, 18037.31937107639, 18037.31937180556]",2,3,18037.319370127316
