,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time,first_arrival,second_arrival,dt
95,95,336.25,"[18037.319833067126, 18037.3198343287, 18037.3198343287, 18037.31983474537, 18037.319833888887, 18037.31983400463]",4,5,18037.319833888887,2019-05-21 07:40:33.648000+00:00,2019-05-21 07:40:33.658000+00:00,-0.01
96,96,245.25,"[18037.319840613425, 18037.319840613425, 18037.319840555556, 18037.31984099537, 18037.31984028935, 18037.319842233795]",4,2,18037.31984028935,2019-05-21 07:40:34.201000+00:00,2019-05-21 07:40:34.224000+00:00,-0.023
97,97,171.75,"[18037.31984789352, 18037.31984789352, 18037.31984789352, 18037.319848333336, 18037.319848819447, 18037.31984957176]",2,3,18037.31984789352,2019-05-21 07:40:34.858000+00:00,2019-05-21 07:40:34.896000+00:00,-0.038
98,98,203.25,"[18037.319857372688, 18037.319857337963, 18037.319857303242, 18037.319857719907, 18037.319857314815, 18037.31985787037]",2,4,18037.319857303242,2019-05-21 07:40:35.671000+00:00,2019-05-21 07:40:35.672000+00:00,-0.001
99,99,172.625,"[18037.319863576387, 18037.319863576387, 18037.319863576387, 18037.31986400463, 18037.319864479166, 18037.319865254627]",2,3,18037.319863576387,2019-05-21 07:40:36.213000+00:00,2019-05-21 07:40:36.250000+00:00,-0.037
100,100,171.75,"[18037.319871770833, 18037.319871770833, 18037.31987167824, 18037.319872118056, 18037.319872581018, 18037.319873356482]",2,3,18037.31987167824,2019-05-21 07:40:36.913000+00:00,2019-05-21 07:40:36.951000+00:00,-0.038
101,101,577.75,"[18037.319879189814, 18037.319879189814, 18037.319879155093, 18037.319879583334, 18037.319880057872, 18037.319877511574]",5,2,18037.319877511574,2019-05-21 07:40:37.417000+00:00,2019-05-21 07:40:37.559000+00:00,-0.142
102,102,172.625,"[18037.319883333334, 18037.319883310185, 18037.31988321759, 18037.319883645832, 18037.31988412037, 18037.31988489583]",2,3,18037.31988321759,2019-05-21 07:40:37.910000+00:00,2019-05-21 07:40:37.947000+00:00,-0.037
103,103,310.0,"[18037.31988857639, 18037.31988866898, 18037.31988853009, 18037.319888969905, 18037.319889537037, 18037.319888067126]",5,2,18037.319888067126,2019-05-21 07:40:38.329000+00:00,2019-05-21 07:40:38.369000+00:00,-0.04
104,104,171.75,"[18037.31989752315, 18037.31989752315, 18037.31989752315, 18037.319897962963, 18037.319898414353, 18037.31989920139]",2,3,18037.31989752315,2019-05-21 07:40:39.146000+00:00,2019-05-21 07:40:39.184000+00:00,-0.038
105,105,172.625,"[18037.319905104167, 18037.319905104167, 18037.319905104167, 18037.319905532408, 18037.319906006942, 18037.31990670139]",2,3,18037.319905104167,2019-05-21 07:40:39.801000+00:00,2019-05-21 07:40:39.838000+00:00,-0.037
106,106,172.625,"[18037.319911782404, 18037.319912430554, 18037.319911782404, 18037.319912210645, 18037.319912685183, 18037.319913460648]",2,3,18037.319911782404,2019-05-21 07:40:40.378000+00:00,2019-05-21 07:40:40.415000+00:00,-0.037
107,107,171.75,"[18037.31991658565, 18037.31991658565, 18037.31991658565, 18037.319917025463, 18037.319917488425, 18037.31991826389]",2,3,18037.31991658565,2019-05-21 07:40:40.793000+00:00,2019-05-21 07:40:40.831000+00:00,-0.038
108,108,172.625,"[18037.31992273148, 18037.31992273148, 18037.31992273148, 18037.31992315972, 18037.319923622683, 18037.31992440972]",2,3,18037.31992273148,2019-05-21 07:40:41.324000+00:00,2019-05-21 07:40:41.361000+00:00,-0.037
109,109,172.625,"[18037.31992777778, 18037.31992777778, 18037.31992778935, 18037.319928217592, 18037.319928680554, 18037.319929456018]",2,3,18037.31992778935,2019-05-21 07:40:41.761000+00:00,2019-05-21 07:40:41.798000+00:00,-0.037
110,110,399.25,"[18037.31993146991, 18037.319930625003, 18037.319931562502, 18037.319931990743, 18037.31993027778, 18037.31993322917]",4,2,18037.31993027778,2019-05-21 07:40:41.976000+00:00,2019-05-21 07:40:42.087000+00:00,-0.111
111,111,172.625,"[18037.319938784723, 18037.319938784723, 18037.319938784723, 18037.31993921296, 18037.3199396875, 18037.319940462963]",2,3,18037.319938784723,2019-05-21 07:40:42.711000+00:00,2019-05-21 07:40:42.748000+00:00,-0.037
112,112,175.25,"[18037.319953287035, 18037.319953287035, 18037.31995329861, 18037.319953692127, 18037.319954189814, 18037.319954965278]",2,3,18037.31995329861,2019-05-21 07:40:43.965000+00:00,2019-05-21 07:40:43.999000+00:00,-0.034
